t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
1.44,0.400968884,-0.178914495,1.186302533,-0.308322445,0.616432584,0.519390918,-0.9467727,-0.113305379,-1.017401468,-0.340476423,-0.239529833,0.421627824
1.456,0.419481013,-0.183510857,1.18685583,-0.280782881,0.601566647,0.517386579,-0.958908407,-0.143808278,-1.02104766,-0.333875723,-0.227947423,0.424591159
1.472,0.437994315,-0.187670202,1.186436627,-0.252309428,0.586519946,0.514899493,-0.969933002,-0.175182986,-1.024514261,-0.327229291,-0.216503625,0.427492414
1.488,0.456492868,-0.191378635,1.184949482,-0.222990095,0.571310468,0.511916656,-0.979763507,-0.207351106,-1.027803336,-0.320538021,-0.205185974,0.430341201
1.504,0.474958177,-0.194623533,1.182305564,-0.192925702,0.555958393,0.508426607,-0.988323058,-0.240220549,-1.03091657,-0.313803074,-0.193982507,0.433146252
1.52,0.493373815,-0.197394482,1.178423707,-0.162221927,0.540482199,0.504418721,-0.995544674,-0.273694206,-1.033856014,-0.307024239,-0.182879033,0.435916133
1.536,0.511718772,-0.199682239,1.173233091,-0.130999529,0.52490417,0.499884658,-1.001369823,-0.307658711,-1.036622942,-0.300202419,-0.171863268,0.43865824
1.552,0.529972151,-0.201479696,1.166674281,-0.099385855,0.509246469,0.494817689,-1.005752195,-0.341993651,-1.039218621,-0.293337993,-0.160922086,0.441379506
1.568,0.54811112,-0.202781725,1.158701317,-0.067517151,0.493532846,0.489213385,-1.008658439,-0.376568935,-1.041643966,-0.28643166,-0.150042878,0.444086086
1.584,0.566115563,-0.203585558,1.149280862,-0.035528998,0.477784565,0.483068313,-1.010069966,-0.411255035,-1.043900128,-0.279482755,-0.139210897,0.446784033
1.6,0.583961634,-0.203890378,1.138396031,-0.003566092,0.46202596,0.476382174,-1.009982777,-0.445912227,-1.045987594,-0.272491796,-0.128413255,0.449478319
1.616,0.601626455,-0.203697702,1.126045074,0.028227696,0.446280337,0.469156506,-1.008408816,-0.480401202,-1.047906792,-0.265458804,-0.117636259,0.452173506
1.632,0.61908618,-0.20301134,1.112242892,0.059707666,0.430571657,0.461395508,-1.005376157,-0.514581087,-1.049657836,-0.258384168,-0.106866735,0.454873421
1.648,0.636320611,-0.201837159,1.097017258,0.090738415,0.414920336,0.453104033,-1.000927934,-0.548320255,-1.051240947,-0.251266874,-0.096089324,0.45758184
1.664,0.653306389,-0.200183319,1.080413891,0.121183285,0.399349364,0.444290695,-0.995123059,-0.581484679,-1.052655754,-0.244107376,-0.085290833,0.460301394
1.68,0.670022778,-0.19805993,1.062491041,0.150916417,0.383879068,0.434965281,-0.988034241,-0.613950845,-1.053901845,-0.236905351,-0.0744568,0.463034428
1.696,0.686449732,-0.195479023,1.043319939,0.179820715,0.368528823,0.425139596,-0.979747125,-0.645603377,-1.054978554,-0.229660573,-0.063572814,0.465782662
1.712,0.702568408,-0.192454369,1.022982976,0.207789972,0.35331658,0.414827165,-0.970358669,-0.676337203,-1.055884988,-0.222372796,-0.052624308,0.468547231
